13795
+Vehicle assignments
car0;z12
car1;z16
car2;z8
car3;z16
car4;z3
car5;z18
car6;z1
car7;z6
car8;z18
car9;z4
car10;z5
car11;z5
car12;z19
car13;z20
+Assigned requests
req0;car7
req1;car7
req5;car5
req6;car10
req8;car0
req9;car0
req10;car3
req12;car8
req13;car0
req14;car11
req15;car2
req19;car1
req20;car10
req21;car5
req22;car0
req23;car3
req24;car7
req26;car2
req27;car7
req28;car4
req30;car8
req31;car3
req32;car5
req33;car3
req35;car2
req41;car13
req42;car13
req44;car3
req45;car1
req46;car3
req48;car11
req49;car8
req50;car6
req51;car11
req54;car3
req55;car1
req56;car11
req57;car2
req59;car6
req60;car11
req61;car5
req64;car5
req65;car8
req66;car9
req68;car12
req69;car11
req70;car13
req71;car10
req73;car4
req74;car1
req75;car9
req76;car0
req77;car7
req78;car4
req82;car6
req84;car0
req85;car3
req86;car5
req87;car3
req88;car10
req92;car4
req94;car12
req95;car9
req96;car2
req97;car8
req98;car13
+Unassigned requests
req2
req3
req4
req7
req11
req16
req17
req18
req25
req29
req34
req36
req37
req38
req39
req40
req43
req47
req52
req53
req58
req62
req63
req67
req72
req79
req80
req81
req83
req89
req90
req91
req93
req99
